Station Name,Slots,Latitude,Longitude
Julius-Raab-Platz,17,48.211544,16.382374
Hoher Markt,25,48.210666,16.372983
Oper,21,48.202683,16.369702
Volksgarten,15,48.206516,16.3604
Taborstraße U2,23,48.219522,16.382218
Erdberg U3,36,48.190465,16.415318
Media Quarter Marx,24,48.188763,16.404503
Heumühlgasse,18,48.195304,16.363308
Margaretengürtel U4,30,48.188612,16.343977
Mittersteig,23,48.189735,16.361331
Berggasse,38,48.219182,16.366349
Alfred-Böhm-Park,24,48.167276,16.386339
Altes Landgut U1,30,48.160985,16.383653
Bloch-Bauer-Promenade,6,48.179521,16.385926
Hauptbahnhof S U ,54,48.186287,16.375631
Keplerplatz U1,16,48.179192,16.375793
Puchsbaumgasse,13,48.172123,16.389296
Enkplatz U3,16,48.17625,16.41326
Gasometer U3,16,48.185253,16.417358
Geiselbergstraße S,16,48.174951,16.406785
Simmering S U,16,48.169601,16.420754
Westbahnhof S U,40,48.19681,16.338577
Gymnasiumstraße,25,48.236591,16.348719
Floridsdorf S U,28,48.255621,16.400137
Großfeldsiedlung U1,14,48.271948,16.447562
Siemensstraße S,12,48.27113,16.42081
Aspernstraße U2,24,48.223008,16.475255
Donauspital U2,22,48.219878,16.464588
Erzherzog-Karl-Straße S,20,48.229619,16.45357
Hausfeldstraße S U,22,48.233624,16.486825
Pirquetgasse,20,48.240415,16.483887
Rennbahnweg U1,20,48.257535,16.44959
Stadlau U 2,18,48.21978,16.44922
VIC Kaisermühlen U1,22,48.232362,16.415692
Kagraner Platz U1,14,48.251071,16.443794
Alterlaa U6,22,48.150204,16.317214
Handelskai S U,34,48.24201,16.384797
Schwarzenbergplatz,20,48.198852,16.376962
Richard-Wagner-Platz,24,48.210054,16.328049
Brünner Straße S,17,48.267376,16.403725
Wallensteinplatz,23,48.229911,16.371579
Rennweg S,9,48.194261,16.386578
Niederhofstraße U6,14,48.180233,16.330812
Alser Straße U6,21,48.216588,16.3416
WU-Campus / Südportalstraße ,35,48.212856,16.407665
Bahngasse / mdw-University of Music and Performing Arts,27,48.201628,16.384459
Radetzkyplatz,26,48.210682,16.390221
Rochusmarkt,16,48.203416,16.389789
Spittelau S U,19,48.235289,16.35875
Währinger Straße U6,24,48.225482,16.349795
Schüttauplatz,16,48.225856,16.423761
Schwedenplatz,30,48.211721,16.376628
Waldmüllerpark,12,48.18136,16.367618
Schloss Schönbrunn,36,48.187201,16.312659
Hietzing U4,32,48.187739,16.302814
Praterstern S U,56,48.218454,16.390281
Edelsinnstraße,15,48.170578,16.310926
Landstraße - Wien Mitte S U,25,48.205847,16.385246
Rustengasse,15,48.190832,16.326461
Stephansplatz U,22,48.207836,16.372111
Stubentor U,16,48.206812,16.380441
Breitensee S,13,48.198242,16.306901
Hans-Mandl-Berufsschule,15,48.181161,16.338769
Karlsplatz U / TU Wien,19,48.199877,16.368227
Rathaus U2,41,48.211441,16.356586
Zieglergasse U3,14,48.196724,16.343985
Plößlgasse,22,48.194578,16.377147
Heiligenstadt S U,18,48.248272,16.36813
Rossauer Lände U,28,48.222729,16.367425
Lazarettgasse,18,48.219312,16.352461
Volkstheater U,18,48.205994,16.356442
Eslarngasse,22,48.196678,16.395204
Universitätsring,33,48.21192,16.360781
Sankt-Elisabeth-Platz,18,48.19085,16.375668
Herrengasse U,24,48.209724,16.366685
Rathausplatz / Burgtheater,18,48.209923,16.360245
Arbeitergasse,20,48.18392,16.345801
Bauernfeldplatz / Palais Lichtenstein,24,48.221085,16.360193
Johannesgasse,17,48.203384,16.376708
Alserbachstraße,22,48.225138,16.354893
Kardinal-Nagl-Platz U,16,48.197069,16.400874
Schottenring U,18,48.215972,16.372194
Albertgasse,28,48.210475,16.343998
Strozzigasse,22,48.207744,16.349122
Sensengasse,20,48.220335,16.35638
Löwengasse,23,48.2057,16.395998
Dänenstraße / BOKU,50,48.23737,16.33448
Am Schöpfwerk U,27,48.160951,16.324922
Wassergasse,22,48.199234,16.394335
Petrusgasse,26,48.192988,16.398459
Kärntner Ring,17,48.202161,16.3713
Stefan-Fadinger-Platz,12,48.168439,16.354862
Auf der Schmelz,20,48.203673,16.316414
Ober St. Veit U,15,48.192296,16.274813
Grimmgasse,19,48.186805,16.327679
Parhamerplatz,29,48.216137,16.328093
Friedensbrücke U4,16,48.226825,16.365311
Obere Augartenstraße,14,48.223,16.374752
Dornerplatz,22,48.221223,16.33459
Michelbeuern-AKH U,35,48.221804,16.343735
Johann-Nepomuk-Vogl-Platz,12,48.223756,16.337543
Schmelzbrücke,21,48.19623,16.330241
Ottakring S U,38,48.211841,16.311806
Krieau U,30,48.214384,16.414663
Nestroyplatz U,14,48.215879,16.38621
Westbahnstraße / Schottenfeldgasse,15,48.201942,16.343241
Vorgartenstraße U,34,48.223192,16.399795
Messe-Prater U2,44,48.217295,16.406163
Hernals S,20,48.22321,16.315256
Hartmanngasse ,23,48.187123,16.363965
Yppengasse,23,48.214561,16.335624
Gumpendorfer Gürtel,26,48.18934,16.338321
Urban-Loritz-Platz,22,48.201034,16.337727
Burggasse-Stadthalle U,20,48.203657,16.337419
Westbahnhof S U / Gerstnerstraße,32,48.195315,16.337344
Rosensteingasse,21,48.21955,16.326586
Hanusch Krankenhaus,18,48.19853,16.29393
Wieningerplatz,22,48.194063,16.31846
Kundratstraße,15,48.176146,16.355224
Reumannplatz U,19,48.172937,16.378663
Plunkergasse,24,48.199892,16.327151
Kagran U1,32,48.244086,16.433594
Brestelgasse,13,48.214001,16.330753
Karmeliterplatz,15,48.215683,16.379649
Selzergasse,22,48.196802,16.323095
Nussdorfer Straße U,17,48.231717,16.353124
Palffygasse,25,48.217217,16.337131
Josefstädter Straße U,22,48.212106,16.33912
Gersthof S,26,48.231029,16.329505
Fröbelgasse,24,48.205827,16.330869
Markgraf-Rüdiger Straße,28,48.202473,16.329897
Liesing S,13,48.134253,16.283428
Kettenbrückengasse U ,14,48.196328,16.357468
Elterleinplatz,14,48.218034,16.332358
Siebensternplatz,18,48.202223,16.352486
Rosensteingasse / Blumengasse,22,48.222824,16.328474
Thaliastraße U,24,48.207995,16.337984
Dresdner Straße U,26,48.237487,16.380363
Reinprechtsdorfer Brücke,20,48.189633,16.351143
Westbahnhof S U / Felberstraße,38,48.197958,16.3377
Neubaugasse U,18,48.198527,16.35093
Jägerstraße U,22,48.235062,16.369919
Mayerhofgasse,16,48.192892,16.367069
Friedrich-Engels-Platz,25,48.244111,16.379304
Traisengasse S,22,48.233821,16.383263
Marschallplatz,15,48.165635,16.303146
Hütteldorf  S U,33,48.198076,16.261813
Loquaipark,19,48.194597,16.349121
Schottenring U /Herminengasse,18,48.217784,16.373083
Turnergasse,18,48.193083,16.334103
Brünnlbadgasse,11,48.215262,16.346523
Museumsquartier U2,34,48.202344,16.361117
Schönbornpark,22,48.213164,16.351095
Frankhplatz,21,48.215164,16.355172
Canisiusgasse,22,48.229011,16.354359
Ceija-Stojka-Platz,11,48.207702,16.342199
Arthaberplatz,24,48.173447,16.371831
Siebenbrunnenplatz,20,48.184975,16.352986
Aumannplatz,22,48.228561,16.335125
Längenfeldgasse U,24,48.18424,16.333886
Schottentor U,36,48.214558,16.361492
Johnstrasse U,22,48.19834,16.318975
Kutschkergasse,16,48.225707,16.344196
Brückengasse,22,48.19126,16.347918
Stadion U,21,48.210893,16.420795
Praterstern Ausstellungsstraße,25,48.21785,16.395483
Schönbrunn U,5,48.185845,16.319898
Gußhausstraße / Argentinierstraße,21,48.197287,16.371572
Althanstraße,20,48.228936,16.3596
Modecenterstraße / The Marks,20,48.184348,16.413837
Am Langen Felde,10,48.250336,16.450206
