id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
Q84VMYA7rsEc_gihnPotww,klein-und-fein-velm,Klein & Fein,https://s3-media4.fl.yelpcdn.com/bphoto/DoontBl14m8RP5AtE89nBQ/o.jpg,False,https://www.yelp.com/biz/klein-und-fein-velm?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,1,"[{'alias': 'austrian', 'title': 'Austrian'}]",5.0,"{'latitude': 48.0405890142984, 'longitude': 16.4451149851084}",[],€€€,"{'address1': 'Velmerstr. 69', 'address2': '', 'address3': '', 'city': 'Velm', 'zip_code': '2325', 'country': 'AT', 'state': '3', 'display_address': ['Velmerstr. 69', '2325 Velm', 'Austria']}",+43302234x78991,+43 302234 ext. 78991,5623.924083294093
VCJrcyUmnD8jxXgtzhoMNg,pichlers-restaurant-münchendorf,Pichlers Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/F1-z4wvHQirIxB67-ECLTQ/o.jpg,False,https://www.yelp.com/biz/pichlers-restaurant-m%C3%BCnchendorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,3,"[{'alias': 'austrian', 'title': 'Austrian'}, {'alias': 'bars', 'title': 'Bars'}]",5.0,"{'latitude': 48.02658, 'longitude': 16.37871}",[],,"{'address1': 'Hauptstr. 8', 'address2': None, 'address3': None, 'city': 'Münchendorf', 'zip_code': '2482', 'country': 'AT', 'state': '3', 'display_address': ['Hauptstr. 8', '2482 Münchendorf', 'Austria']}",+436769448564,+43 676 9448564,3355.3923791201983
htKZC0IGhS1N26PrYwbGUQ,heuriger-dreimäderlhaus-münchendorf,Heuriger Dreimäderlhaus,https://s3-media1.fl.yelpcdn.com/bphoto/qWHfEwqkrADoycofddiMtQ/o.jpg,False,https://www.yelp.com/biz/heuriger-dreim%C3%A4derlhaus-m%C3%BCnchendorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,3,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'austrian', 'title': 'Austrian'}]",3.5,"{'latitude': 48.0290245, 'longitude': 16.3792488}",[],€€€,"{'address1': 'Hauptstr. 34', 'address2': None, 'address3': None, 'city': 'Münchendorf', 'zip_code': '2482', 'country': 'AT', 'state': '3', 'display_address': ['Hauptstr. 34', '2482 Münchendorf', 'Austria']}",+4322592248,+43 2259 2248,3577.4906470781602
7Xf2ZerUURYIEXZM94IeyQ,pizzeria-u-kebap-house-ebreichsdorf-ebreichsdorf,Pizzeria u. Kebap House Ebreichsdorf,,False,https://www.yelp.com/biz/pizzeria-u-kebap-house-ebreichsdorf-ebreichsdorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,1,"[{'alias': 'kebab', 'title': 'Kebab'}, {'alias': 'pizza', 'title': 'Pizza'}]",5.0,"{'latitude': 47.96345, 'longitude': 16.40307}",[],€,"{'address1': 'Bahnstraße 5', 'address2': None, 'address3': None, 'city': 'Ebreichsdorf', 'zip_code': '2483', 'country': 'AT', 'state': '3', 'display_address': ['Bahnstraße 5', '2483 Ebreichsdorf', 'Austria']}",+43225474054,+43 2254 74054,4067.071030582763
0If5YKAjIOy6F3m_tDpi2w,zur-mina-tant-ebreichsdorf,Zur Mina Tant,,False,https://www.yelp.com/biz/zur-mina-tant-ebreichsdorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,4,"[{'alias': 'hotels', 'title': 'Hotels'}, {'alias': 'austrian', 'title': 'Austrian'}]",4.0,"{'latitude': 47.97931, 'longitude': 16.44341}",[],,"{'address1': 'Untere Ortsstr. 2', 'address2': '', 'address3': None, 'city': 'Ebreichsdorf', 'zip_code': '2442', 'country': 'AT', 'state': '3', 'display_address': ['Untere Ortsstr. 2', '2442 Ebreichsdorf', 'Austria']}",+43225473478,+43 2254 73478,3965.993456593621
GxTw5HKRamCGhBcNo9-pJQ,waitz-gerhard-unterwaltersdorf-2,Waitz Gerhard,,False,https://www.yelp.com/biz/waitz-gerhard-unterwaltersdorf-2?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,1,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.0,"{'latitude': 47.9601, 'longitude': 16.4312}",[],,"{'address1': 'Hauptplatz 9', 'address2': None, 'address3': None, 'city': 'Unterwaltersdorf', 'zip_code': '2442', 'country': 'AT', 'state': '3', 'display_address': ['Hauptplatz 9', '2442 Unterwaltersdorf', 'Austria']}",+43225472405,+43 2254 72405,5007.706970134909
-iXlZK2qS5RZepd4pHBulQ,eiscafé-garibaldi-ebreichsdorf,Eiscafé Garibaldi,,False,https://www.yelp.com/biz/eiscaf%C3%A9-garibaldi-ebreichsdorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,2,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",3.0,"{'latitude': 47.9633, 'longitude': 16.4023}",[],€€,"{'address1': 'Hauptplatz 2', 'address2': None, 'address3': None, 'city': 'Ebreichsdorf', 'zip_code': '2483', 'country': 'AT', 'state': '3', 'display_address': ['Hauptplatz 2', '2483 Ebreichsdorf', 'Austria']}",+436767226795,+43 676 7226795,4084.4383667307534
_JbN9FY5R2DUXsESowgXtQ,pizzeria-d-angelo-ebreichsdorf,Pizzeria D'Angelo,,False,https://www.yelp.com/biz/pizzeria-d-angelo-ebreichsdorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,3,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",3.0,"{'latitude': 47.9664738, 'longitude': 16.4023223}",[],,"{'address1': 'Wiener Str. 28', 'address2': None, 'address3': None, 'city': 'Ebreichsdorf', 'zip_code': '2483', 'country': 'AT', 'state': '3', 'display_address': ['Wiener Str. 28', '2483 Ebreichsdorf', 'Austria']}",+43225476069,+43 2254 76069,3731.9439841065946
EDaXxxafSR9LcCR_SpF3jA,sgwölb-ebreichsdorf,S'Gwölb,https://s3-media1.fl.yelpcdn.com/bphoto/51CJ7uBV-gSL65ZzITzHFQ/o.jpg,False,https://www.yelp.com/biz/sgw%C3%B6lb-ebreichsdorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,4,"[{'alias': 'austrian', 'title': 'Austrian'}]",4.0,"{'latitude': 47.9722624, 'longitude': 16.3969205}",[],,"{'address1': 'Rathausplatz 2', 'address2': '', 'address3': None, 'city': 'Ebreichsdorf', 'zip_code': '2483', 'country': 'AT', 'state': '3', 'display_address': ['Rathausplatz 2', '2483 Ebreichsdorf', 'Austria']}",+4369912165103,+43 699 12165103,3092.7805789602085
B1viEoAzNVOA2ZjOVU2joA,brunners-bräu-münchendorf,Brunner's Bräu,https://s3-media1.fl.yelpcdn.com/bphoto/Ko8sMneC1SMJY8dwJvXUKg/o.jpg,False,https://www.yelp.com/biz/brunners-br%C3%A4u-m%C3%BCnchendorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,1,"[{'alias': 'food', 'title': 'Food'}, {'alias': 'restaurants', 'title': 'Restaurants'}]",4.0,"{'latitude': 48.0299886, 'longitude': 16.3797198}",[],,"{'address1': 'Hauptstr. 46', 'address2': None, 'address3': None, 'city': 'Münchendorf', 'zip_code': '2482', 'country': 'AT', 'state': '3', 'display_address': ['Hauptstr. 46', '2482 Münchendorf', 'Austria']}",+4369911602622,+43 699 11602622,3659.908584368711
5VSfr5YVxIG6FGnDy1NKsg,weißer-schwan-ebreichsdorf,Weißer Schwan,,False,https://www.yelp.com/biz/wei%C3%9Fer-schwan-ebreichsdorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,1,"[{'alias': 'hotels', 'title': 'Hotels'}, {'alias': 'german', 'title': 'German'}]",3.0,"{'latitude': 47.9635, 'longitude': 16.4018}",[],,"{'address1': 'Wiener Neustädter Str. 3', 'address2': '', 'address3': None, 'city': 'Ebreichsdorf', 'zip_code': '2483', 'country': 'AT', 'state': '3', 'display_address': ['Wiener Neustädter Str. 3', '2483 Ebreichsdorf', 'Austria']}",+43225473805,+43 2254 73805,4060.8209572905625
2YBDJGGq8j65CKbaDws35w,wolfgang-happel-münchendorf,Wolfgang Happel,,False,https://www.yelp.com/biz/wolfgang-happel-m%C3%BCnchendorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,1,"[{'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'wineries', 'title': 'Wineries'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",1.0,"{'latitude': 48.02704, 'longitude': 16.37819}",[],,"{'address1': 'Hauptstr. 1', 'address2': None, 'address3': None, 'city': 'Münchendorf', 'zip_code': '2482', 'country': 'AT', 'state': '3', 'display_address': ['Hauptstr. 1', '2482 Münchendorf', 'Austria']}",+43225920136,+43 2259 20136,3414.1275731442465
_wMTcqH7RHOgyeCAYtFfLQ,china-restaurant-palast-ebreichsdorf,China Restaurant Palast,,False,https://www.yelp.com/biz/china-restaurant-palast-ebreichsdorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,1,"[{'alias': 'chinese', 'title': 'Chinese'}]",1.0,"{'latitude': 47.9633, 'longitude': 16.4023}",[],,"{'address1': 'Hauptplatz 2', 'address2': None, 'address3': None, 'city': 'Ebreichsdorf', 'zip_code': '2483', 'country': 'AT', 'state': '3', 'display_address': ['Hauptplatz 2', '2483 Ebreichsdorf', 'Austria']}",+43225472623,+43 2254 72623,4084.4383667307534
XtK_hzsSUGMeHpBm_nFZZg,gasthaus-z-post-unterwaltersdorf,Gasthaus z Post,,False,https://www.yelp.com/biz/gasthaus-z-post-unterwaltersdorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,1,"[{'alias': 'german', 'title': 'German'}]",2.0,"{'latitude': 47.9609, 'longitude': 16.4311}",[],,"{'address1': 'Hauptplatz 3', 'address2': None, 'address3': None, 'city': 'Unterwaltersdorf', 'zip_code': '2442', 'country': 'AT', 'state': '3', 'display_address': ['Hauptplatz 3', '2442 Unterwaltersdorf', 'Austria']}",+43225472379,+43 2254 72379,4925.5565988999315
E2OZAdZZrphoDKbbDrE0LQ,pizzeria-albino-ebreichsdorf,Pizzeria Albino,,False,https://www.yelp.com/biz/pizzeria-albino-ebreichsdorf?adjust_creative=0_vDvM4vwmFucTxQib_w6Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0_vDvM4vwmFucTxQib_w6Q,1,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.0,"{'latitude': 47.96504, 'longitude': 16.40185}",[],,"{'address1': 'Wiener Str. 15', 'address2': None, 'address3': None, 'city': 'Ebreichsdorf', 'zip_code': '2483', 'country': 'AT', 'state': '3', 'display_address': ['Wiener Str. 15', '2483 Ebreichsdorf', 'Austria']}",+43225473818,+43 2254 73818,3900.58912952067
